batter,bowler_type,runs,balls,strike_rate
Sameer Rizvi,Spin,76,42,180.95
Shashank Singh,Pace,55,27,203.7
Shashank Singh,Spin,19,12,158.33
Shubman Gill,Pace,230,151,152.32
Shubman Gill,Spin,148,93,159.14
Suryansh Shedge,Pace,57,31,183.87
Suryansh Shedge,Spin,28,17,164.71
T Stubbs,Pace,218,148,147.3
T Stubbs,Spin,39,40,97.5
TH David,Pace,165,86,191.86
TH David,Spin,67,31,216.13
TM Head,Pace,292,158,184.81
TM Head,Spin,69,49,140.82
Tilak Varma,Pace,161,91,176.92
Tilak Varma,Spin,43,41,104.88
V Kohli,Pace,318,183,173.77
V Kohli,Spin,61,48,127.08
V Suryavanshi,Pace,340,142,239.44
V Suryavanshi,Spin,64,28,228.57
VR Iyer,Pace,37,24,154.17
VR Iyer,Spin,4,6,66.67
WG Jacks,Pace,33,22,150.0
WG Jacks,Spin,24,9,266.67
Washington Sundar,Pace,143,93,153.76
Washington Sundar,Spin,66,48,137.5
YBK Jaiswal,Pace,275,165,166.67
YBK Jaiswal,Spin,37,31,119.35
